                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.96754,                0.78631,                 1.0092,                0.95178,                0.77725,                0.88255,                0.53295,                 1.5591,                0.84106,                 1.0936,              0.0096881,              0.0096881,              0.0096881
                     65,                 1.0036,                0.84008,                 1.0158,                0.94221,                0.79729,                0.89236,                0.52147,                 1.6654,                0.83514,                 1.1065,              0.0096832,              0.0096832,              0.0096832
                     66,                0.97363,                0.80204,                0.99839,                0.95093,                0.79167,                0.89266,                0.51513,                 1.6837,                0.86947,                 1.1171,              0.0096783,              0.0096783,              0.0096783
                     67,                0.96468,                0.82856,                 1.0121,                0.94683,                0.80502,                0.89838,                0.55619,                  1.516,                0.78003,                 1.0643,              0.0096733,              0.0096733,              0.0096733
                     68,                0.96017,                0.81342,                 1.0047,                0.94665,                0.79844,                0.89321,                0.54587,                 1.5421,                0.80874,                 1.0781,              0.0096684,              0.0096684,              0.0096684
                     69,                0.94192,                 0.7941,                0.99393,                0.94173,                 0.7925,                 0.8878,                0.57168,                 1.4422,                0.81472,                 1.0431,              0.0096634,              0.0096634,              0.0096634
                     70,                0.91846,                0.78264,                0.98017,                0.95207,                0.79708,                0.89301,                0.54258,                  1.571,                0.82079,                 1.0695,              0.0096585,              0.0096585,              0.0096585
                     71,                0.93768,                0.79254,                0.98284,                0.95313,                0.80563,                0.90222,                0.57958,                 1.4197,                0.75426,                 1.0272,              0.0096535,              0.0096535,              0.0096535
                     72,                0.93931,                0.77895,                0.99561,                0.94857,                0.79937,                0.89604,                0.56091,                 1.4867,                0.77817,                   1.04,              0.0096486,              0.0096486,              0.0096486
                     73,                0.91256,                0.75986,                0.97364,                0.95308,                  0.795,                0.89595,                0.56425,                 1.4619,                 0.7932,                 1.0364,              0.0096436,              0.0096436,              0.0096436
                     74,                0.93069,                0.78155,                0.98391,                0.95073,                0.79991,                0.89681,                 0.5559,                 1.5394,                0.79807,                 1.0484,              0.0096387,              0.0096387,              0.0096387
                     75,                0.91619,                0.77804,                0.97499,                0.94664,                0.80205,                0.89718,                0.55269,                 1.5455,                0.81288,                 1.0462,              0.0096337,              0.0096337,              0.0096337
                     76,                0.89496,                0.76199,                0.98036,                0.94069,                0.80271,                0.89804,                0.53757,                 1.5896,                0.80096,                 1.0576,              0.0096288,              0.0096288,              0.0096288
                     77,                0.90996,                0.76206,                0.98584,                0.95725,                0.79875,                0.90165,                0.56905,                  1.469,                0.76875,                 1.0316,              0.0096238,              0.0096238,              0.0096238
                     78,                0.89997,                0.78899,                0.97781,                0.94989,                0.81355,                0.90367,                0.51206,                 1.7436,                0.80517,                 1.1018,              0.0096188,              0.0096188,              0.0096188
                     79,                0.88878,                0.74763,                0.97113,                0.96042,                0.79417,                0.89708,                0.52954,                 1.6417,                0.82791,                 1.0691,              0.0096139,              0.0096139,              0.0096139
                     80,                0.88896,                0.78718,                0.96605,                0.95534,                0.81107,                0.90386,                0.53321,                 1.6505,                0.78642,                 1.0657,               0.009609,               0.009609,               0.009609
                     81,                0.89663,                 0.7698,                0.97362,                0.94832,                0.80667,                0.90103,                0.56368,                 1.4787,                0.79492,                 1.0247,               0.009604,               0.009604,               0.009604
                     82,                0.89774,                0.76386,                0.96677,                 0.9474,                0.81804,                 0.9062,                0.53944,                 1.6326,                0.78711,                 1.0533,               0.009599,               0.009599,               0.009599
                     83,                0.88716,                0.75543,                0.96912,                0.94898,                0.81458,                 0.9057,                0.55197,                 1.5668,                0.77897,                 1.0381,              0.0095941,              0.0095941,              0.0095941
